,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
18,ErinSnider10,#Resister 💙Love it when folks vett and follow back.🦋 Retired teacher who 💚 RV travel with husband & hiking with Wanda. Hanging on P*ST now! Same handle! 😉,"NorCal, USA",24358,22218,276446,14,"@NikkiHaley Unfortunate fact.
There only three nations actively trying to enlarge their territory:
China
Russia
Israel
“They didn’t leave anything untouched,” Abu Awwad said. “Our homes, our livestock pens, our bathrooms, our water tanks…They destroyed everything”
https://t.co/CVHFhQCeUy https://t.co/v5jyswBL6u",[]
19,HermanKurvers,Guided by common sense. Very proud grandpa. The world is ruled by criminals.,Netherlands,644,499,16222,4,"The brilliance of sleepy Joe #Biden: ""how did we get to the place, ya know, where #Putin decides he's going to just invade #Russia? Nothing like this has happened since WW2."" https://t.co/A2JxScrhaG","['Biden', 'Putin']"
20,NickMurdaca,"Non insegno, condivido.
In scia a questa celebre frase: «Nulla si crea, nulla si distrugge, tutto si trasforma» (Antoine Lavoisier)",Italia,2427,1781,23221,226,"Ukraine is sending its best into the fight while Russia is sending its worst. This makes Ukrainian victory inevitable and will also lead to a stronger Ukraine and a collapsing Russia. A nation must believe in itself, its people, and its cause to thrive.",[]
21,scott4pendleton,"Joe won, get over it!  - trump disgusts me #BlueCrew #Resist #BLM #GoodTrouble #OneV1 #DemVoice1 #TruBlue #ProudBlue #ResistanceUnited -❤️@monalizza","Trump Free Zone, AZ",28187,29779,174271,20,"Special Counsel John Durham opened a criminal investigation into potential financial crimes involving former President Donald J. Trump at former Attorney General William Barr’s request, the New York Times reported.
https://t.co/eqblcsikY3",[]
22,HeimMatthew,Hello Twitter,"Edenton, NC",182,113,5159,0,@tassagency_en What’s to condemn? He actively supported war crimes against Ukrainians. And his surprise gag gift was brought to him by a Russian inside Russia. This is Russia’s internal affairs. Didn’t you say you don’t want us interfering in your internal affairs?,[]
23,DonnaGallipeau,"Nobody special.Related to some noteable https://t.co/abKwtlVS8o Horror,handsome actors,art,kids.Hate Nazis and cruel people.Nurse.","Melbourne,Fl.and Newport,R.I.",398,1037,107517,77,It's trending again &gt; #RussiaIsCollapsing. Putin's Russia's all show &amp; no substance. https://t.co/nUMG5cBzyy,['RussiaIsCollapsing']
24,nicoletaisabel3,"We should be making spaceships, not bombs!
https://t.co/RvNibZZlBm",Romania,1429,936,3909,125,"A children's toy covered in blood at Kramatorsk railway station.

Exactly a year ago, Russia's missile attack on the train station killed 61 people and injured another 121. This photo showed the world just how vicious Russia's invasion of Ukraine had been. We will never forget. https://t.co/rAzxFb3aap",[]
25,AMASCOPE_,,,280,54,6993,269,"Remembering Russia's war crimes in #Ukraine. On 8th April 2022, a Russian missile strike hit the railway station in the city of Kramatorsk - while large numbers of people were evacuating. The strike killed 60 civilians, including 7 children and wounded more than 110. https://t.co/yTyKjrhLCl",['Ukraine']
26,dergrexxie,"Older woman with no regrets.

https://t.co/qeGLqcUHDG","Centerville, Utah",6062,5510,195654,5,"Zelensky condemned Russia's persecutions of Crimean Tatars at an Iftar 

Zelensky also vowed to recapture Crimea from Russia, which illustrates internal disagreements over a member of his team's calls for negotiations on Crimea's status",[]
27,jeffhaman73,"Came here for the politics, but stayed for the #DogsOfTwitter

#noHillary (update 1/20/20) Maybe ""three time loser"" has a nice ring to it",MN,1481,528,16845,0,"@Elex_Michaelson @AdamSchiff Ask Schiff when he's going to present his ""hard evidence"" of Trump and Russia colluding. Schiff is easily the biggest liar in Congress. 

He should be impeached for the lies he repeatedly told. 

Follow up by asking him who he's schilling for.",[]
28,Onemryeboah,|| IT Support Specialist 🖥️ || Help Desk Analyst 💻 || IT Consulting 🖱️|| Network and Systems Administration 📲,"Accra, Ghana",1087,1623,98729,1358,"Countries with most universities:  

India 🇮🇳: 5,288 
USA 🇺🇸: 3,216 
Indonesia 🇮🇩: 2,595 
China 🇨🇳: 2,565 
Brazil 🇧🇷: 1,297 
Mexico 🇲🇽: 1,173 
Japan 🇯🇵: 1,063 
Russia 🇷🇺: 1,058 
Iran 🇮🇷: 704 
France 🇫🇷: 617 
Germany 🇩🇪: 459 
Canada 🇨🇦: 387 
Poland 🇵🇱: 379",[]
29,DrDickfaceMD,,,0,2,917,0,"@wootendw @eugah @Oyka1 @MedvedevRussiaE Well then, why are you still living in the evil US? Why not move to Russia where you can lick Putins feet?

Or maybe, you are just another Vatnik loser crying because you have realized that Russia is now considered irrelevant?",[]
30,loolla900,Food enthusiast. Unapologetic alcohol expert. Extreme web nerd. Communicator. Proud bacon fanatic. Reader.,Salem,108,123,136,9,"@Quanwarrior_Nft @GoalReaLer @saintmikeiL @yabaleftonline U.S is the biggest terrorists in the world. They killed more 20M innocent people around the world like in Somalia,Libya,Yemen,Syria,Iraq,Vietnam,Cambodia,Afghanistan and some parts of the world.

That's why Russia and China says no more American terrorism",[]
31,CarolynStroud1,"Keen needlewoman, WI member and happy Gran!",Somerset,373,227,15742,28,"Midnight in #Kyiv 

Read that russia has used more than 1200 missiles and drones on our infrastructure. Failed. We are still here. 
Even have power. 

Going to write a few lines in my war book-diary. Always late with it. 
These 1200 threats are wandering through the pages. Day by… https://t.co/7JLshcieQg https://t.co/UeDxtOEcXl",['Kyiv']
32,Into_the_Wind_1,"Research scientist, outdoor enthusiast.",US,351,131,6844,8,The US interfered in Russia’s election to install Yeltsin who allowed US capitalist to plunder Russia. Putin cracked down on foreign exploitation by corrupt capitalist and restored the country. That’s why is is so popular. https://t.co/OUScwG3BiW,[]
33,IdleTalk12,"Tweet mainly about movies; some tweets about music, books, & series. 🔞 no DMs🚫",,1172,1764,51233,1,"#Bales2023FilmChallenge
April 8   Spotlight in movie

From Russia With Love Pre-Title https://t.co/CZOQ5DfNOJ",['Bales2023FilmChallenge']
34,GriffinFill,"Political Science and History Major, trying (sometimes succeeding) to learn Arabic, Neo/Social Liberal, Eagle Scout, aspiring foreign policy extraordinaire.","Connecticut, USA",3026,1485,27782,5,"Zelensky condemned Russia's persecutions of Crimean Tatars at an Iftar 

Zelensky also vowed to recapture Crimea from Russia, which illustrates internal disagreements over a member of his team's calls for negotiations on Crimea's status",[]
35,JessicaRaquelM5,,,163,65,24196,15,"Good night, the best city in the world. 

Btw, Russia, how is it going with destroying our electricity infrastructure? 🤡 https://t.co/5wzduN0I9y",[]
36,SkuBSnax,Popeyes Fried Chicken Lover Lookin to Understand the Galacticallly Inane,,47,55,11560,2268,Trump-Russia was real. The Twitter Files were fake.,[]
37,LawrenceLeritz,"Broadway☆Film☆TV☆Dance. Emmy's Night Of Too Many Stars, Macy's Parade opening, Mrs Maisel, SNL, Love In Kilnerry '22, Time Mag's Local Hero. Rep- MSA-NY🐕",United States,3210,2656,163296,1211,Whoever coordinated this gravely damaging leak is allowing Russia to ferret out US and allied sources inside Moscow. They must be caught: Leaked Documents Reveal Depth of U.S. Spy Efforts and Russia’s Military Struggles https://t.co/UoS6282nEV,[]
38,momocheesefries,Just chillin & watching the unhinged people dominating our society these days.,U.S.A.,570,427,69372,1,"@mfa_russia @RussiaUN @mission_russian @RusMission_EU @natomission_ru @RusEmbUSA @RusBotschaft @AmbRusFrance @rusembitaly Maybe you shouldn't have begin your invasion 9 years ago and shelled people in Donetsk while blaming Ukraine.
https://t.co/AcQxXdXPS3",[]
39,LwaziSomya,I Tend To Think Out Loud | Somewhere on the Left | Researching things at SALO | International Relations Fiend | Collecting Degrees like Pokémon,Republic of South Africa,992,4569,186146,5,"Zelensky condemned Russia's persecutions of Crimean Tatars at an Iftar 

Zelensky also vowed to recapture Crimea from Russia, which illustrates internal disagreements over a member of his team's calls for negotiations on Crimea's status",[]
40,JandeGoei,Adviwater | zzp'er | water & klimaat | waterveiligheid | motto: Waterveiligheid met visie,Amersfoort,362,852,177118,373,"Today, we welcome home 31 Ukrainian children who were abducted by Russians from occupied territories. This was the most challenging of all previous rescue missions due to Russia's large-scale information campaign ⬇️ https://t.co/4eGMB5it15",[]
41,mcgee_mom,💙🌊🌊💙 Life Long Democrat!  Supporting all Democrats!!  #VoteBlue #BlueWave2024 #WearADamnMask #Vaxxed 💙🌊🌊💙,,8329,7591,224437,155,"Twitter has stopped applying restrictions against the accounts of #Putin and agencies of the #Russian Federation which were installed in April 2022
According to former Twitter executives, such changes could not have been accidental
#Russia #Ukraine #RussiaUkraineWar
Telegraph https://t.co/ys54gCLhog","['Putin', 'Russian']"
42,PamelaG42032712,"#AmericaFirst #MAGA Had to set up a new Twitter profile, Jack locked me out & wouldn’t let me back on! please follow - I’ll FB 🇺🇸",,192,165,5564,35,"In just 2 short years, America went from a nation that was both respected and feared, to a nation where our allies no longer trust us (Mexico, India, Saudi Arabia, etc) and our enemies no longer fear us. (China, Russia, North Korea, etc).",[]
43,ZengerEwald,,,114,228,33398,581,"Russia's prosecutor asks for 25 years prison sentence  for Vladimir Kara-Murza @vkaramurza. More than for murder, terrorism, bank robbery and aeroplane hijacking. 

Q: Oh, wait, but what was his crime? 
A: He did advocate for peace with Ukraine. https://t.co/o46byUP9Tt",[]
44,kickaha71,,,262,8,61108,445,"The UK is listed on the wall of shame for countries that imprison journalists. #FreeAssangeNOW #JournalismIsNotACrime

https://t.co/7lXUhUvc2s https://t.co/XvezJNzgJs","['FreeAssangeNOW', 'JournalismIsNotACrime']"
45,purelyfast,Oh heal me 😊,,844,20451,369797,0,What Leaked Pentagon Documents Show About Wagner’s Influence https://t.co/NL1sBCupBW,[]
46,RoxanaSato,,"Toronto, Canada",2425,2758,176992,27,"A trove of leaked Pentagon documents reveals how deeply Russia’s security and intelligence services have been penetrated by the U.S. The documents portray a depleted Russian military, but also reveal a U.S. assessment of Ukraine's military in dire straits. https://t.co/ePNN1atSl9 https://t.co/cSGzlNjdpl",[]
47,GeorgeSirdar,"Prepare for the multipolar world where there shall be just two forces, Truth 🆚 Satanism",,301,269,7171,0,"Breaking.......

#Russia #China #USA #Germany #Ukraine #UK #France #Europe #Iran #India #UAE #SaudiArabia #Syria #Turkey #Lebanon #Israel #Gaza #Palestine #Jerusalem #Egypt https://t.co/VIAI8AHSyM","['Russia', 'China', 'USA', 'Germany', 'Ukraine', 'UK', 'France', 'Europe', 'Iran', 'India', 'UAE', 'SaudiArabia', 'Syria', 'Turkey', 'Lebanon', 'Israel', 'Gaza', 'Palestine', 'Jerusalem', 'Egypt']"
48,NancyWasik1,"#VoteBlueNoMatterWho, #LifelongDemocrat","Aurora, IL",4807,2167,102023,24,"""I cried when I saw my mom from the bus. I'm very happy to be back.""

These Ukrainian children were illegally deported by Russia, a humanitarian group says. CNN was there as they were reunited with their families in Kyiv. https://t.co/ezYxjiMxJx https://t.co/QuoOTChWrZ",[]
49,SassyLynn14,"#CALiGIRL  she/her #ProudDem 🇺🇸💖🇺🇸
Same handle on Post🙏",,2848,2311,126163,3,"❗️Kostiantynivka, Pokrovskyi district in Donetsk region - explosions reported. russia attacked the Kupjanskyi district in Kharkiv region again.  2 people are killed, regional military administration reported .

Fck you russia #russiaisaterrorisstate",[]
